"","Year","Datetime","Stage","Stadium","City","Home_Team_Name","Home_Team_Goals","Away_Team_Goals","Away_Team_Name","Win_conditions","Attendance","H_time_Home_Goals","H_time_Away_Goals","Referee","Assistant_1","Assistant_2","RoundID","MatchID","Home_Team_Initials","Away_Team_Initials","Winner","Winner_Goals"
"675",2006,"19 Jun 2006 - 18:00","Group H","FIFA World Cup Stadium, Hamburg","Hamburg","Saudi Arabia",0,4,"Ukraine",NA,50000,0,2,"POLL Graham (ENG)","SHARP Philip (ENG)","TURNER Glenn (ENG)",97410100,97410032,"KSA","UKR","UKR",4
"676",2006,"19 Jun 2006 - 21:00","Group H","Gottlieb-Daimler-Stadion","Stuttgart","Spain",3,1,"Tunisia",NA,52000,0,1,"SIMON Carlos (BRA)","TAVARES Aristeu (BRA)","CORONA Ednilson (BRA)",97410100,97410031,"ESP","TUN","ESP",3
"677",2006,"20 Jun 2006 - 16:00","Group A","Olympiastadion","Berlin","Ecuador",0,3,"Germany",NA,72000,0,2,"IVANOV Valentin (RUS)","GOLUBEV Nikolai (RUS)","VOLNIN Evgueni (RUS)",97410100,97410033,"ECU","GER","GER",3
"678",2006,"20 Jun 2006 - 16:00","Group A","FIFA World Cup Stadium, Hanover","Hanover","Costa Rica",1,2,"Poland",NA,43000,1,1,"MAIDIN Shamsul (SIN)","PERMPANICH Prachya (THA)","GHULOUM Eisa (UAE)",97410100,97410034,"CRC","POL","POL",2
"679",2006,"20 Jun 2006 - 21:00","Group B","FIFA World Cup Stadium, Cologne","Cologne","Sweden",2,2,"England",NA,45000,0,1,"BUSACCA Massimo (SUI)","BURAGINA Francesco (SUI)","ARNET Matthias (SUI)",97410100,97410035,"SWE","ENG","Tie",2
"680",2006,"20 Jun 2006 - 21:00","Group B","Fritz-Walter-Stadion","Kaiserslautern","Paraguay",2,0,"Trinidad and Tobago",NA,46000,1,0,"ROSETTI Roberto (ITA)","COPELLI Cristiano (ITA)","STAGNOLI Alessandro (ITA)",97410100,97410036,"PAR","TRI","PAR",2
"681",2006,"21 Jun 2006 - 16:00","Group D","Zentralstadion","Leipzig","Iran",1,1,"Angola",NA,38000,0,0,"SHIELD Mark (AUS)","GIBSON Nathan (AUS)","WILSON Ben (AUS)",97410100,97410040,"IRN","ANG","Tie",1
"682",2006,"21 Jun 2006 - 16:00","Group D","FIFA World Cup Stadium, Gelsenkirchen","Gelsenkirchen","Portugal",2,1,"Mexico",NA,52000,2,1,"MICHEL Lubos (SVK)","Roman SLYSKO (SVK)","BALKO Martin (SVK)",97410100,97410039,"POR","MEX","POR",2
"683",2006,"21 Jun 2006 - 21:00","Group C","FIFA World Cup Stadium, Frankfurt","Frankfurt/Main","Netherlands",0,0,"Argentina",NA,48000,0,0,"MEDINA CANTALEJO Luis (ESP)","GIRALDEZ CARRASCO Victoriano (ESP)","MEDINA HERNANDEZ Pedro (ESP)",97410100,97410037,"NED","ARG","Tie",0
"684",2006,"21 Jun 2006 - 21:00","Group C","FIFA World Cup Stadium, Munich","Munich","Cote d'Ivore",3,2,"Serbia and Montenegro",NA,66000,1,2,"RODRIGUEZ Marco (MEX)","CAMARGO Jose Luis (MEX)","LEAL Leonel (CRC)",97410100,97410038,"CIV","SRB","CIV",3
"685",2006,"22 Jun 2006 - 16:00","Group E","FIFA World Cup Stadium, Hamburg","Hamburg","Czech Republic",0,2,"Italy",NA,50000,0,1,"ARCHUNDIA Benito (MEX)","RAMIREZ Jose (MEX)","VERGARA Hector (CAN)",97410100,97410041,"CZE","ITA","ITA",2
"686",2006,"22 Jun 2006 - 16:00","Group E","Franken-Stadion","Nuremberg","Ghana",2,1,"USA",NA,41000,2,1,"MERK Markus (GER)","SCHRAER Christian (GER)","SALVER Jan-Hendrik (GER)",97410100,97410042,"GHA","USA","GHA",2
"687",2006,"22 Jun 2006 - 21:00","Group F","FIFA World Cup Stadium, Dortmund","Dortmund","Japan",1,4,"Brazil",NA,65000,1,1,"POULAT Eric (FRA)","DAGORNE Lionel (FRA)","TEXIER Vincent (FRA)",97410100,97410043,"JPN","BRA","BRA",4
"688",2006,"22 Jun 2006 - 21:00","Group F","Gottlieb-Daimler-Stadion","Stuttgart","Croatia",2,2,"Australia",NA,52000,1,1,"POLL Graham (ENG)","SHARP Philip (ENG)","TURNER Glenn (ENG)",97410100,97410044,"CRO","AUS","Tie",2
